frame,vehicle_id,vehicle_bbox,vehicle_type,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
0,5.0,[2195.68017578125 1157.049072265625 2786.025390625 1736.6319580078125],car,[2407.13818359375 1551.4912109375 2576.4609375 1638.7039794921875],0.6013637185096741,NW51T5U,0.12525606532649286
0,3.0,[752.2139892578125 1369.3121337890625 1429.3065185546875 1984.0484619140625],car,[974.8357543945312 1753.40380859375 1199.5994873046875 1851.191650390625],0.5669248700141907,N41JNPU,0.3214015999618706
1,5.0,[2201.052238605014 1167.3780065078865 2783.497281999558 1739.9153114934222],car,[2411.260986328125 1549.034912109375 2584.846435546875 1642.219482421875],0.5876848697662354,N0SIV5U,0.03040228061432524
1,3.0,[750.7361538107078 1374.2024826171903 1425.7284015219652 1991.5582416230961],car,[975.324462890625 1765.396484375 1203.47021484375 1862.9620361328125],0.535774827003479,N413MPU,0.13818122246185596
4,5.0,[2190.9890283545437 1176.1741112079055 2790.6105728038 1763.8227406862522],car,[2416.61083984375 1575.34326171875 2587.661376953125 1654.04638671875],0.571334958076477,HL51N5U,0.1690214782259741
5,5.0,[2188.581198118599 1176.832557475576 2794.5778128912134 1768.76239149237],car,[2408.718505859375 1582.39892578125 2585.8759765625 1661.4521484375],0.5514554381370544,4OTSIV5U,0.030054484329525472
7,5.0,[2195.6626656881413 1179.7501902770714 2817.6061467867535 1779.6308659828655],car,[2413.68359375 1588.52197265625 2587.294677734375 1672.470703125],0.6153361797332764,M1V1V5U,0.051077957607545646
7,3.0,[724.5475923846966 1407.5111245410812 1425.3347513118902 2052.7156600686562],car,[938.2731323242188 1805.97802734375 1185.6671142578125 1911.028564453125],0.563228189945221,1N413NRU,0.1757855728297296
8,3.0,[719.34351236985 1413.582813715926 1421.7871084383924 2058.1886314916765],car,[954.4998779296875 1824.6705322265625 1172.0086669921875 1918.4849853515625],0.5394648909568787,N413NRU,0.43149204849982004
9,5.0,[2196.4455762863613 1192.9139920772357 2827.6228734875353 1794.7374135913826],car,[2420.9755859375 1596.533935546875 2593.8125 1690.518310546875],0.6364390850067139,ML51V5U,0.4761421661483644
9,3.0,[710.6083724501043 1419.0849643973809 1416.7057448438989 2066.5472134624215],car,[935.3765258789062 1832.4049072265625 1177.8861083984375 1928.1412353515625],0.5784582495689392,N413NRU,0.4208676969164693
10,5.0,[2196.31515086743 1195.41017295597 2826.2181141714045 1799.383402653819],car,[2425.525146484375 1601.3408203125 2597.036376953125 1695.908935546875],0.6335136890411377,NLEIV5U,0.08455857697232946
10,3.0,[701.9183644074691 1423.551877376702 1410.7906602679927 2073.1102779929392],car,[923.5907592773438 1831.7886962890625 1181.8697509765625 1942.950927734375],0.5649683475494385,N41JNRU,0.2854002770421503
11,5.0,[2193.2994305438688 1199.0992710104697 2818.7501392489175 1804.0906032867902],unknown,[2418.03173828125 1608.80859375 2596.042236328125 1700.7158203125],0.5458311438560486,MLEIV5U,0.13112678791306367
11,3.0,[698.1074136129002 1430.8679679812446 1408.537048870907 2082.021833819918],car,[917.34228515625 1840.0242919921875 1168.3883056640625 1944.0260009765625],0.505068302154541,N413NRU,0.36696612511947435
12,5.0,[2194.145326195949 1204.5740565371318 2817.1224691994244 1809.975565373846],car,[2425.58935546875 1618.761474609375 2596.2451171875 1701.1036376953125],0.5818625092506409,ML751V5V,0.1320103222200057
13,5.0,[2194.70980260958 1209.7100844040951 2816.4938644886643 1814.5938534233896],car,[2424.335693359375 1625.8406982421875 2597.409912109375 1709.0430908203125],0.6165910363197327,MDTIV5U,0.0890315980949873
13,3.0,[691.5624655163858 1442.5359962829605 1406.7009681209677 2097.01749083233],car,[925.9462890625 1860.3262939453125 1170.804443359375 1966.883056640625],0.5571579933166504,M413NRU,0.29594527225509326
14,5.0,[2195.7674111936503 1213.720891155693 2817.5485441565934 1819.3669249501902],car,[2423.824951171875 1634.689453125 2597.97802734375 1715.2305908203125],0.6465806365013123,MDTSIY5V,0.051219405701935686
15,5.0,[2199.2585278627266 1221.2814207730517 2821.1414720993025 1828.0291061336002],car,[2425.9013671875 1637.69091796875 2598.005859375 1721.92529296875],0.6484192609786987,N1TIV5U,0.043308841425975256
15,3.0,[683.2487376010395 1458.2163761417055 1400.7608038975986 2112.3877245047893],car,[928.6359252929688 1881.05419921875 1159.704345703125 1982.8406982421875],0.5846607089042664,AN413NRU,0.2521710629609963
16,3.0,[679.5990486366628 1463.506392646028 1400.7349832381005 2117.70105424421],car,[924.328857421875 1882.8936767578125 1153.1334228515625 1989.9202880859375],0.6093677878379822,N413NRU,0.33168443213416915
17,5.0,[2201.059310670774 1231.679004701974 2821.9317794841418 1843.7584532612327],car,[2430.722900390625 1641.2406005859375 2614.875 1736.0731201171875],0.6575095653533936,HD5IV5U,0.29887596743437095
18,5.0,[2199.830606442479 1245.4881519751107 2825.079410092971 1856.5841350023925],car,[2435.0068359375 1658.2518310546875 2616.334716796875 1748.2877197265625],0.6259393095970154,5LT515U,0.12571806625518164
18,3.0,[671.2371473262133 1482.4174714825413 1393.9471811510111 2136.676604794703],car,[903.7427368164062 1901.384765625 1157.526123046875 2006.748046875],0.5728073716163635,N413NRU,0.6375032724811441
19,3.0,[669.585358583842 1491.0206925946165 1394.074277919951 2143.532366327516],car,[917.968505859375 1911.1563720703125 1148.3724365234375 2009.7374267578125],0.6390044689178467,N41JNRU,0.28619695151827157
19,5.0,[2200.4906487835287 1250.5119480038652 2830.854509725954 1862.2561660499582],car,[2433.158935546875 1659.5841064453125 2616.353271484375 1747.4366455078125],0.6172000169754028,MLZ51Y5U,0.294444241326524
20,3.0,[666.3377952310252 1496.874853203722 1392.7446447481234 2148.6519037277217],car,[898.4423828125 1922.7484130859375 1131.793212890625 2019.0999755859375],0.614166259765625,N41]NRU,0.3050257964840772
21,5.0,[2204.6434713592716 1252.4663987118993 2842.488283448465 1872.085439600232],car,[2435.10205078125 1681.0770263671875 2619.671630859375 1763.31884765625],0.6458796262741089,C1151V5U,0.13661120616663217
21,3.0,[660.3424840541477 1506.1709119103018 1388.3615622865439 2153.3481960587587],car,[884.35107421875 1924.3564453125 1152.848876953125 2037.995361328125],0.6199503540992737,N41]NRU,0.41863721623955125
22,3.0,[656.088453610597 1510.2364485324629 1385.624699471789 2155.125408026606],car,[872.0322875976562 1923.384521484375 1137.3692626953125 2037.88916015625],0.6461219787597656,N413NRU,0.33008745492928765
23,3.0,[652.4759584516058 1515.6714953248543 1383.4697796278365 2156.1543928046467],unknown,[910.2145385742188 1941.6591796875 1144.8201904296875 2045.091064453125],0.6566098928451538,N413MRU,0.6666394248171998
24,5.0,[2208.242002255603 1266.4767071848767 2855.2895134983305 1894.0031316288475],car,[2440.07373046875 1697.4246826171875 2622.91796875 1785.2025146484375],0.6740803122520447,NT51V5U,0.14071657592193268
24,3.0,[649.9763661861521 1520.5254259536978 1381.8506643975315 2156.1908414426325],unknown,[871.8385620117188 1951.1964111328125 1131.603271484375 2066.682373046875],0.6297782063484192,N413NRU,0.5146506589699085
25,5.0,[2208.0178506293532 1266.872759906016 2858.5489864659066 1898.7629061798837],car,[2440.6376953125 1698.0545654296875 2624.806640625 1788.9144287109375],0.6886106729507446,MTSIV5U,0.30885336647881945
25,3.0,[648.2378785541957 1525.9167065335182 1380.4295542707935 2156.275059853846],unknown,[863.300537109375 1962.0970458984375 1134.5994873046875 2074.216796875],0.6193852424621582,N413MRU,0.4135518629503388
26,3.0,[645.1772738484784 1533.234978687347 1380.250375441009 2157.465358897855],unknown,[885.8932495117188 1976.162109375 1132.2506103515625 2081.061767578125],0.6076200604438782,N413NRU,0.4011095503290853
27,3.0,[643.0805399927618 1540.4679768682463 1381.0043346280208 2157.0263587020477],unknown,[855.1962890625 1977.8658447265625 1129.2432861328125 2092.04345703125],0.6642913222312927,N413NRU,0.1497150448743634
28,3.0,[639.9584444352085 1546.5656576372653 1378.9820881889057 2156.873080443887],unknown,[873.2217407226562 1982.525390625 1116.4901123046875 2092.09423828125],0.6683346629142761,N413MRU,0.46014957544480073
28,5.0,[2206.4107087738234 1268.2343428437002 2860.9199084832176 1917.2112753648635],car,[2448.481201171875 1726.820556640625 2626.799560546875 1804.2232666015625],0.6439894437789917,CQ3515V,0.04201145988114673
29,3.0,[635.9166014548645 1554.447082585156 1375.216172099313 2157.3818864095983],unknown,[858.9329223632812 1996.2850341796875 1119.795166015625 2105.770263671875],0.6548261046409607,N41]NRU,0.3161992320065971
30,3.0,[634.7069396059284 1562.7809811173572 1372.5360180923321 2158.3866466861073],unknown,[885.7263793945312 2018.2880859375 1093.0565185546875 2117.21630859375],0.668521523475647,N413NRU,0.24957879268584635
31,3.0,[636.0598770709098 1568.4480188552725 1372.5390496626603 2157.4048339331953],unknown,[873.2384643554688 2022.1483154296875 1119.32470703125 2125.7470703125],0.6970623135566711,N413NRU,0.12495202223399318
31,5.0,[2209.5157151759445 1289.9485428613677 2866.1860600395607 1947.2083906694454],car,[2445.10546875 1741.8326416015625 2633.77001953125 1832.1087646484375],0.6631708145141602,CZSIV5U,0.11613275125773781
32,3.0,[631.7399265114032 1577.5871662928512 1369.5475132905706 2156.9112260527936],unknown,[838.1239013671875 2027.9073486328125 1110.9635009765625 2136.782470703125],0.6711316704750061,N4,]NRU,0.5526534057352948
33,3.0,[622.1021079110758 1584.9490597074991 1364.8300603354942 2156.16129131024],unknown,[851.9326171875 2040.1622314453125 1122.056396484375 2151.592041015625],0.6496323347091675,N413NRU,0.3141797117112079
34,3.0,[612.7729876572666 1590.2027467322941 1361.5781826753907 2155.2423981514116],unknown,[861.25048828125 2047.534423828125 1123.2147216796875 2159.07861328125],0.6386065483093262,N413NPU,0.23301961064177748
35,3.0,[604.5083614397529 1600.1793756396805 1357.927298262709 2156.8981415100975],unknown,[856.07470703125 2065.391845703125 1110.7806396484375 2160.0],0.6332535147666931,M413MRU,0.4240920747672625
41,5.0,[2218.8725185800618 1355.1171777996117 2887.0511951723597 2027.304789402652],car,[2463.614013671875 1817.2789306640625 2655.18701171875 1900.1224365234375],0.5812811851501465,1FSIV5UR,0.05373792267034921
44,5.0,[2222.064194454811 1372.2667593324495 2902.6154031425863 2052.826684939327],car,[2472.37890625 1836.0330810546875 2665.0087890625 1930.838134765625],0.6747438907623291,NV51V5U,0.15119554939638036
47,5.0,[2226.209633395192 1384.1632526966328 2919.061577745083 2073.7568435799576],unknown,[2477.614990234375 1861.7120361328125 2674.664306640625 1950.8133544921875],0.6651971340179443,CTSIV5V,0.033109021584365746
49,5.0,[2225.5265946098516 1397.1172444737208 2926.0015346281225 2088.9059563693895],car,[2478.65576171875 1876.3524169921875 2673.87744140625 1965.5372314453125],0.6968821883201599,1WSIY5U,0.012656103978365627
50,5.0,[2230.0153502330672 1400.7583490559273 2934.6861692057087 2096.326010142413],car,[2485.389892578125 1889.4407958984375 2677.994140625 1978.6556396484375],0.692786455154419,1OSIT5V,0.03111924755233639
55,5.0,[2236.7504475257288 1437.8567712309434 2951.2690834412547 2135.787012957909],car,[2490.76416015625 1924.786376953125 2691.08447265625 2013.0380859375],0.6813576221466064,C1S1W5U,0.02091988717778897
56,5.0,[2238.156487637863 1444.702930710645 2956.5962756703116 2141.451430783281],car,[2492.399169921875 1936.26416015625 2696.32666015625 2025.958740234375],0.667733907699585,CD3SIV5U,0.06007627646086688
59,5.0,[2241.611313773417 1458.0154719719533 2957.1738635251936 2149.4492293503754],unknown,[2497.289306640625 1959.7628173828125 2710.309814453125 2050.332275390625],0.7074968218803406,MTSIV5U,0.09652828489555779
62,5.0,[2245.867538566531 1475.9850251081216 2958.443824716089 2151.835680921218],unknown,[2504.6015625 1982.3389892578125 2718.28369140625 2082.31640625],0.7138248085975647,N1TSIV5U,0.10421988438393127
64,5.0,[2252.9695842983656 1491.163358339261 2962.948409233086 2150.2229594470055],unknown,[2504.9658203125 1995.9627685546875 2728.052734375 2094.121826171875],0.700392484664917,MTFSIV5U,0.1747849058242556
72,5.0,[2271.262496865657 1543.1962674059034 2992.2550616609437 2155.3985109379414],unknown,[2533.940185546875 2072.249267578125 2743.074462890625 2160.0],0.6972359418869019,MVTS15UL,0.12210947161424895
73,5.0,[2274.008519496554 1546.9388369755047 2997.246894061459 2153.824788059872],unknown,[2530.784912109375 2079.30908203125 2745.586669921875 2160.0],0.6707209348678589,HTT5TV5U,0.06444691307777371
