frame,vehicle_id,vehicle_bbox,vehicle_type,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
127,1,2048.9740843362465 1188.3232274390114 2596.641270796104 1655.1486584116294,car,2223.6796875 1470.5833740234375 2446.93359375 1557.8514404296875,0.5025555491447449,4P053E0,0.41729847923207125
128,1,2048.2908117892807 1191.7768026109575 2598.31196325569 1659.7147620084509,Unknown,2226.2134521484377 1475.2278076171874 2448.7908935546875 1563.5797119140625,0,0,0
129,1,2047.6075392423147 1195.2303777829034 2599.9826557152755 1664.2808656052725,Unknown,2228.747216796875 1479.8722412109375 2450.648193359375 1569.3079833984375,0,0,0
130,1,2046.9242666953487 1198.6839529548495 2601.6533481748615 1668.846969202094,Unknown,2231.2809814453126 1484.5166748046875 2452.5054931640625 1575.0362548828125,0,0,0
131,1,2046.240994148383 1202.1375281267956 2603.3240406344476 1673.4130727989154,Unknown,2233.81474609375 1489.1611083984376 2454.36279296875 1580.7645263671875,0,0,0
132,1,2045.557721601417 1205.5911032987415 2604.994733094033 1677.9791763957369,Unknown,2236.3485107421875 1493.8055419921875 2456.2200927734375 1586.4927978515625,0,0,0
133,1,2044.874449054451 1209.0446784706876 2606.665425553619 1682.5452799925586,Unknown,2238.882275390625 1498.4499755859374 2458.077392578125 1592.2210693359375,0,0,0
134,1,2044.1911765074851 1212.4982536426337 2608.336118013205 1687.11138358938,Unknown,2241.4160400390624 1503.0944091796875 2459.9346923828125 1597.9493408203125,0,0,0
135,1,2043.5079039605191 1215.9518288145798 2610.006810472791 1691.6774871862015,Unknown,2243.9498046875 1507.7388427734375 2461.7919921875 1603.6776123046875,0,0,0
136,1,2042.8246314135533 1219.4054039865257 2611.6775029323767 1696.2435907830231,Unknown,2246.4835693359373 1512.3832763671876 2463.6492919921875 1609.4058837890625,0,0,0
137,1,2042.1413588665873 1222.8589791584718 2613.3481953919627 1700.8096943798446,car,2249.017333984375 1517.0277099609375 2465.506591796875 1615.1341552734375,0.6344539523124695,4P053E0,0.4239290626323344
138,1,2045.3751772003163 1228.3097276470462 2617.2846351448434 1706.9410399533604,car,2236.7529296875 1527.469970703125 2464.712646484375 1607.8291015625,0.5860781669616699,4P053E0,0.3613576962762411
139,1,2048.6659382070184 1231.3829939241486 2620.3612686186625 1710.2110014153109,car,2240.569091796875 1526.055908203125 2446.428955078125 1604.7235107421875,0.5471789836883545,4P053E0,0.11359438727161922
140,1,2047.8868637052196 1234.2683459184896 2622.2644358290213 1716.7321171765639,Unknown,2240.6618041992188 1529.0240478515625 2448.536865234375 1609.7712707519531,0,0,0
141,1,2047.107789203421 1237.1536979128305 2624.16760303938 1723.2532329378168,Unknown,2240.7545166015625 1531.9921875 2450.644775390625 1614.8190307617188,0,0,0
142,1,2046.3287147016224 1240.0390499071714 2626.070770249739 1729.7743486990698,Unknown,2240.8472290039062 1534.9603271484375 2452.752685546875 1619.8667907714844,0,0,0
143,1,2045.5496401998237 1242.9244019015123 2627.9739374600977 1736.2954644603228,car,2240.93994140625 1537.928466796875 2454.860595703125 1624.91455078125,0.5332434177398682,4P053E0,0.2425824112801859
144,1,2046.3073998871735 1247.3705444715301 2631.0338897991096 1743.2502138455943,Unknown,2244.7496337890625 1546.82275390625 2458.7373046875 1632.8183288574219,0,0,0
145,1,2047.065159574523 1251.816687041548 2634.0938421381215 1750.2049632308656,Unknown,2248.559326171875 1555.717041015625 2462.614013671875 1640.7221069335938,0,0,0
146,1,2047.8229192618728 1256.2628296115658 2637.1537944771335 1757.1597126161369,Unknown,2252.3690185546875 1564.611328125 2466.49072265625 1648.6258850097656,0,0,0
147,1,2048.5806789492226 1260.7089721815837 2640.2137468161454 1764.1144620014084,car,2256.1787109375 1573.505615234375 2470.367431640625 1656.5296630859375,0.509978711605072,4P053E0,0.18938027059301107
148,1,2048.971102901685 1264.6273251013208 2643.791870416914 1770.122481816923,Unknown,2255.116064453125 1576.4209228515624 2468.882763671875 1659.5777587890625,0,0,0
149,1,2049.361526854147 1268.5456780210582 2647.3699940176825 1776.1305016324377,Unknown,2254.05341796875 1579.33623046875 2467.398095703125 1662.6258544921875,0,0,0
150,1,2049.75195080661 1272.4640309407953 2650.9481176184513 1782.1385214479524,Unknown,2252.990771484375 1582.2515380859375 2465.913427734375 1665.6739501953125,0,0,0
151,1,2050.142374759072 1276.3823838605326 2654.5262412192196 1788.146541263467,Unknown,2251.928125 1585.166845703125 2464.428759765625 1668.7220458984375,0,0,0
152,1,2050.5327987115343 1280.3007367802697 2658.1043648199884 1794.1545610789817,car,2250.865478515625 1588.0821533203125 2462.944091796875 1671.7701416015625,0.5338016152381897,4P053E0,0.5841601573444111
153,1,2051.3820754301582 1284.6935893477214 2660.180362982984 1800.1421312348652,Unknown,2253.1620890299478 1594.13330078125 2465.3985392252603 1678.4718322753906,0,0,0
154,1,2052.2313521487827 1289.086441915173 2662.25636114598 1806.1297013907488,Unknown,2255.458699544271 1600.1844482421875 2467.852986653646 1685.1735229492188,0,0,0
155,1,2053.0806288674066 1293.4792944826247 2664.3323593089754 1812.1172715466323,Unknown,2257.7553100585938 1606.235595703125 2470.3074340820312 1691.8752136230469,0,0,0
156,1,2053.929905586031 1297.8721470500764 2666.408357471971 1818.1048417025156,Unknown,2260.0519205729165 1612.2867431640625 2472.7618815104165 1698.576904296875,0,0,0
157,1,2054.779182304655 1302.264999617528 2668.484355634967 1824.0924118583991,Unknown,2262.3485310872397 1618.337890625 2475.2163289388022 1705.2785949707031,0,0,0
158,1,2055.628459023279 1306.6578521849797 2670.5603537979623 1830.0799820142827,Unknown,2264.6451416015625 1624.3890380859375 2477.6707763671875 1711.9802856445312,0,0,0
159,1,2056.4777357419034 1311.0507047524313 2672.636351960958 1836.0675521701662,Unknown,2266.9417521158853 1630.440185546875 2480.1252237955728 1718.6819763183594,0,0,0
160,1,2057.3270124605274 1315.443557319883 2674.712350123954 1842.0551223260497,Unknown,2269.2383626302085 1636.4913330078125 2482.5796712239585 1725.3836669921875,0,0,0
161,1,2058.176289179152 1319.8364098873346 2676.7883482869497 1848.042692481933,Unknown,2271.5349731445312 1642.54248046875 2485.0341186523438 1732.0853576660156,0,0,0
162,1,2059.025565897776 1324.2292624547863 2678.8643464499455 1854.0302626378166,Unknown,2273.831583658854 1648.5936279296875 2487.488566080729 1738.7870483398438,0,0,0
163,1,2059.8748426164 1328.622115022238 2680.940344612941 1860.0178327937,Unknown,2276.1281941731772 1654.644775390625 2489.9430135091147 1745.4887390136719,0,0,0
164,1,2060.724119335024 1333.0149675896896 2683.0163427759367 1866.0054029495836,car,2278.4248046875 1660.6959228515625 2492.3974609375 1752.1904296875,0.5315107703208923,4POS3E0,0.35307739859863907
165,1,2067.872633346464 1338.0003870866317 2686.757363318667 1874.8832614149755,unknown,2275.8876953125 1667.8587646484375 2517.158447265625 1751.541259765625,0.541692316532135,4P053E0,0.24459964650983995
166,1,2068.60180695364 1343.2532252425679 2687.7132040829533 1881.372489888464,Unknown,2279.3077799479165 1672.1029052734375 2518.92529296875 1759.636962890625,0,0,0
167,1,2069.330980560815 1348.5060633985038 2688.66904484724 1887.8617183619529,Unknown,2282.7278645833335 1676.3470458984375 2520.692138671875 1767.732666015625,0,0,0
168,1,2070.0601541679907 1353.75890155444 2689.624885611526 1894.3509468354414,car,2286.14794921875 1680.5911865234375 2522.458984375 1775.828369140625,0.5360168814659119,4PZS#1R,0.010442613086497904
169,1,2074.997660055991 1357.1085640820559 2693.3944594080276 1897.8096403101242,Unknown,2285.60498046875 1689.8436889648438 2513.2791748046875 1781.0997924804688,0,0,0
170,1,2079.935165943992 1360.4582266096718 2697.1640332045286 1901.268333784807,car,2285.06201171875 1699.09619140625 2504.099365234375 1786.3712158203125,0.512791097164154,4P053E0,0.32620156684135293
171,1,2078.209171585238 1367.027962516441 2697.8135521052345 1908.4375874463237,Unknown,2289.9703369140625 1702.873046875 2518.988037109375 1794.0923461914062,0,0,0
172,1,2076.483177226484 1373.5976984232102 2698.4630710059405 1915.6068411078404,unknown,2294.878662109375 1706.64990234375 2533.876708984375 1801.8134765625,0.5689784288406372,4P0S3E0,0.25878938443877597
173,1,2080.861820072898 1379.0921832871231 2703.949023145801 1923.113903118057,car,2300.154296875 1718.0892333984375 2529.587646484375 1808.0936279296875,0.500741183757782,4P053ED,0.2296303641214396
174,1,2081.91581253666 1385.9894448264931 2706.71126488399 1930.8445771972642,Unknown,2298.1487426757812 1724.1742248535156 2526.5177001953125 1815.9244384765625,0,0,0
175,1,2082.9698050004217 1392.8867063658631 2709.4735066221797 1938.5752512764716,Unknown,2296.1431884765625 1730.2592163085938 2523.44775390625 1823.7552490234375,0,0,0
176,1,2084.0237974641836 1399.7839679052329 2712.235748360369 1946.3059253556787,Unknown,2294.1376342773438 1736.3442077636719 2520.3778076171875 1831.5860595703125,0,0,0
177,1,2085.0777899279456 1406.6812294446029 2714.997990098558 1954.036599434886,car,2292.132080078125 1742.42919921875 2517.307861328125 1839.4168701171875,0.5202096700668335,4P0S3E0,0.481502336813048
178,1,2087.423679119501 1411.6782163659968 2720.1770136611894 1961.6085312701082,Unknown,2299.3361206054688 1750.81640625 2525.2357177734375 1845.3562316894531,0,0,0
179,1,2089.7695683110564 1416.6752032873906 2725.3560372238203 1969.1804631053303,Unknown,2306.5401611328125 1759.20361328125 2533.16357421875 1851.2955932617188,0,0,0
180,1,2092.115457502612 1421.6721902087843 2730.535060786451 1976.7523949405524,Unknown,2313.7442016601562 1767.5908203125 2541.0914306640625 1857.2349548339844,0,0,0
181,1,2094.4613466941673 1426.6691771301782 2735.7140843490824 1984.3243267757746,car,2320.9482421875 1775.97802734375 2549.019287109375 1863.17431640625,0.519166886806488,4P053E0,0.1955498270351583
182,1,2092.2606872437386 1430.3268960126516 2742.022956112243 1990.1603165196284,Unknown,2309.748779296875 1779.68994140625 2538.2618408203125 1865.853515625,0,0,0
183,1,2090.06002779331 1433.984614895125 2748.331827875403 1995.9963062634824,unknown,2298.54931640625 1783.40185546875 2527.50439453125 1868.53271484375,0.5151363015174866,4P053E0,0.2868101540046938
184,1,2089.351570357361 1438.9946210751125 2753.054019463296 2001.5211779775188,car,2309.15478515625 1777.4091796875 2546.523193359375 1876.45458984375,0.610037624835968,4P053E0,0.2340797822611818
185,1,2091.9558470635657 1445.804412101938 2758.914994752391 2009.7820016364976,car,2322.468017578125 1799.9937744140625 2551.98046875 1892.8516845703125,0.6086164712905884,4P053E0,0.25144572856886643
186,1,2092.3658787191375 1452.8251847141714 2763.087771752594 2019.667650867535,car,2308.82373046875 1803.33837890625 2559.9931640625 1896.308349609375,0.5768607258796692,4P053E0,0.3249199576508696
187,1,2091.94377355508 1460.1498761702162 2765.494938296291 2028.3247296081684,Unknown,2313.6148274739585 1812.109375 2552.784423828125 1901.8955078125,0,0,0
188,1,2091.521668391023 1467.4745676262608 2767.9021048399877 2036.9818083488015,Unknown,2318.4059244791665 1820.88037109375 2545.57568359375 1907.482666015625,0,0,0
189,1,2091.0995632269655 1474.7992590823055 2770.3092713836845 2045.6388870894348,car,2323.197021484375 1829.6513671875 2538.366943359375 1913.06982421875,0.5833919644355774,4P053E0,0.4996923592685469
190,1,2089.1569227143827 1481.2259389787823 2770.830464479667 2053.609566510372,Unknown,2322.704345703125 1832.928955078125 2545.2220458984375 1923.4716796875,0,0,0
191,1,2087.2142822018004 1487.6526188752591 2771.3516575756494 2061.58024593131,car,2322.211669921875 1836.20654296875 2552.0771484375 1933.87353515625,0.6087983846664429,4P053E0,0.2877962316840142
192,1,2087.787706971887 1496.0388682595153 2774.5664223399426 2071.4538094780432,car,2325.3349609375 1861.02099609375 2562.968994140625 1942.6611328125,0.5274736881256104,4P053E0,0.8801106036842047
193,1,2088.546239069542 1501.0906249085601 2776.514181063677 2078.06035323002,Unknown,2331.8453369140625 1866.1058349609375 2570.4586181640625 1950.3310546875,0,0,0
194,1,2089.3047711671966 1506.142381557605 2778.4619397874117 2084.6668969819966,car,2338.355712890625 1871.190673828125 2577.9482421875 1958.0009765625,0.5912677645683289,4P0S3E0,0.27153448664660307
195,1,2093.8331193246386 1511.758504855149 2784.6107205056524 2091.841201415179,car,2341.408203125 1874.638916015625 2582.028564453125 1960.051025390625,0.646241307258606,4P053E0,0.30886933365014524
196,1,2094.3339163719615 1516.9423612062535 2784.4420850154106 2097.522076682717,car,2333.275146484375 1875.50244140625 2578.328857421875 1970.1156005859375,0.6482186317443848,4P0S3E0,0.35097978612912956
197,1,2095.9794910685177 1523.1305012506823 2792.639740400494 2105.9843268603995,Unknown,2334.3851725260415 1887.310791015625 2584.4921061197915 1978.1431884765625,0,0,0
198,1,2097.6250657650744 1529.3186412951113 2800.8373957855774 2114.4465770380816,Unknown,2335.4951985677085 1899.119140625 2590.6553548177085 1986.1707763671875,0,0,0
199,1,2099.2706404616306 1535.50678133954 2809.0350511706606 2122.908827215764,car,2336.605224609375 1910.927490234375 2596.818603515625 1994.1983642578125,0.561824381351471,4P053E0,0.2791024149861691
200,1,2101.9514921598625 1541.344389503739 2818.1490271774824 2130.557638840499,unknown,2340.331787109375 1910.093994140625 2598.052001953125 1997.736328125,0.5571061968803406,4P053E0,0.46303269202820074
201,1,2101.172886184958 1547.8307666542414 2820.5920379911404 2137.6780040533295,car,2344.404541015625 1923.348388671875 2571.978271484375 2005.9036865234375,0.5798943042755127,4P0S3E0,0.3367113678352268
202,1,2102.649767152431 1552.3736646434409 2825.265907314337 2142.1710909649028,car,2343.079833984375 1929.7650146484375 2590.38330078125 2011.5260009765625,0.5272353291511536,4P0S3EQ,0.16736994598648464
203,1,2102.7275323528847 1559.914753677167 2830.743292847943 2147.4667702806787,car,2358.00390625 1932.655517578125 2606.959228515625 2033.945068359375,0.5825278162956238,4P053E0,0.36174360086296453
204,1,2102.104355205008 1565.0696723436183 2835.335319717272 2150.698963207936,car,2341.247314453125 1943.7242431640625 2603.899658203125 2040.2552490234375,0.5575529336929321,4PQS3E0,0.5539828101651899
205,1,2105.5898251141057 1570.4474008830277 2841.094006657972 2153.4915197928826,car,2357.608642578125 1959.9462890625 2605.446533203125 2043.577880859375,0.5415524840354919,L4PQS3E0,0.41517197701369807
206,1,2103.6665960161245 1578.3101619351178 2843.7115709581067 2156.5879854476357,unknown,2370.463134765625 1968.6544189453125 2627.9423828125 2058.996337890625,0.6026620268821716,4P053E0,0.31475469556449687
207,1,2103.443844978651 1585.3966135958462 2849.5748609066286 2157.783511303705,unknown,2371.28466796875 1973.244140625 2586.38525390625 2057.854248046875,0.5995709300041199,4P053EQ],0.08751172705264013
208,1,2101.4307763713787 1591.5953675209475 2852.4931836895576 2158.1597608810157,unknown,2363.828125 1977.6895751953125 2596.967529296875 2064.318115234375,0.6200016140937805,4P053EQ,0.36268732262359
209,1,2110.1741267255657 1595.8401438460041 2860.305859748284 2156.1195298941116,unknown,2366.755615234375 1988.392822265625 2638.51123046875 2091.26513671875,0.5398996472358704,4P0S3EQ,0.3535431191150302
210,1,2109.4820857607797 1601.4092886201881 2862.2099034236257 2154.371640675506,unknown,2369.6142578125 2007.5928955078125 2636.28759765625 2100.571533203125,0.6274529695510864,4P053E0,0.3903230560387227
211,1,2110.5980454420005 1607.8403033785894 2865.1793161077285 2151.5022967331342,unknown,2387.4580078125 2005.7960205078125 2650.822998046875 2100.243896484375,0.6286715865135193,4P053E0,0.47180816859019786
